,,Revenues,Gross Profit,Gaap Gross Margin,Gaap Net Income,Non Gaap Net Income,Gaap Eps,Non Gaap Eps,Cash,Cash Change,Shares Basic,Employees
,,,,,,,,,,,,
Q1 2023,11/4/2022,,,,,,,,,,,
,,,,,,,,,,,,
Q4 2022,8/26/2022,443.1,169.6,38.3,92.5,93.3,1.53,1.54,136.224,-8.088,60.426,1377
,,,,,,,,,,,,
Q3 2022,5/6/2022,358.1,116,32.4,50.4,51,0.82,0.83,144.312,-105.106,60.418,
,,,,,,,,,,,,
Q2 2022,2/4/2022,431.6,174.7,40.5,103.6,103.4,1.66,1.66,212.179,-37.239,61.534,
,,,,,,,,,,,,
Q1 2022,11/5/2021,458.9,209.5,45.6,132.2,132.8,2.11,2.12,265.93,16.512,62.461,
,,,,,,,,,,,,
Q4 2021,8/27/2021,477.9,230.7,48.3,154.3,154.9,2.46,2.47,249.418,,62.761,1223
,,,,,,,,,,,,
Q3 2021,5/7/2021,467.2,222.7,47.7,146.1,144.8,2.32,2.3,262.8,,62.814,
,,,,,,,,,,,,
Q2 2021,2/5/2021,479.4,230.7,48.1,159.7,159,2.54,2.53,189.1,,62.809,
,,,,,,,,,,,,
Q1 2021,11/6/2020,473.5,228.1,48.2,156.5,157.1,2.46,2.47,128.4,,63.612,
,,,,,,,,,,,,
Q4 2020,8/21/2020,315.5,152.1,,92.6,93.2,1.45,1.46,142.617,,63.689,1021
,,,,,,,,,,,,
Q3 2020,5/8/2020,337.4,159.6,,103.7,104.3,1.6,1.61,77.78,,63.684,
,,,,,,,,,,,,
Q2 2020,2/7/2020,308.3,145.1,,85.8,91.4,1.32,1.4,100.1,,64.893,
,,,,,,,,,,,,
Q1 2020,11/8/2019,323.3,151.4,,98.1,98.7,1.43,1.44,119.7,,68.484,
,,,,,,,,,,,,
Q4 2019,8/9/2019,286.6,132.9,,70.9,83.6,1.01,1.19,238.1,,70.2,955
,,,,,,,,,,,,
Q3 2019,5/10/2019,284.9,132.8,,88.3,88.9,1.25,1.26,310,,70.6,
,,,,,,,,,,,,
Q2 2019,2/8/2019,307.3,140.2,,77.8,95.1,1.09,1.33,293,,70.84,
,,,,,,,,,,,,
Q1 2019,11/9/2018,282.9,131.6,,85.7,86.2,1.16,1.17,625,,73.96,
,,,,,,,,,,,,
Q4 2018,8/24/2018,269.8,120.5,,70.1,74.8,0.94,1.01,666,,,843
,,,,,,,,,,,,
Q3 2018,5/10/2018,250.4,114.5,,76,,1.32,0.98,690,,76.78,806
,,,,,,,,,,,,
Q2 2018,2/8/2018,250.8,96.9,,59.6,,,0.76,823,,78.7,780
,,,,,,,,,,,,
Q1 2018,11/9/2017,245.9,111.7,,74.9,,,0.92,631.8,,81.1,741
,,,,,,,,,,,,
Q4 2017,8/3/2017,228.6,103.2,,60.7,,,0.74,604.2,,81.3,725
,,,,,,,,,,,,
Q3 2017,5/4/2017,218.4,99.1,,64.6,,,0.78,533.9,,81.7,656
,,,,,,,,,,,,
Q2 2017,2/9/2017,213.5,95.1,,60.6,,,0.72,612.7,,83.8,620
,,,,,,,,,,,,
Q1 2017,11/3/2016,204.8,98.3,,71.8,,,0.86,573.6,,83.8,564
,,,,,,,,,,,,
Q4 2016,8/4/2016,185.7,89.8,,57.5,,,0.69,551,,83.8,537
,,,,,,,,,,,,
Q3 2016,5/5/2016,167.4,82.5,,52.7,,,0.62,502.5,,84.6,503
,,,,,,,,,,,,
Q2 2016,2/4/2016,161.9,79,,49.5,,,0.58,496.7,,86,470
,,,,,,,,,,,,
Q1 2016,11/5/2015,151.4,73.5,,53.8,,,0.61,436.1,,88.4,452